archivo,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,spectral_contrast_0,spectral_contrast_1,spectral_contrast_2,spectral_contrast_3,spectral_contrast_4,spectral_contrast_5,spectral_contrast_6
choclo_4.wav,-371.49,103.08,14.824,13.31,0.245,1.55,-7.056,0.539,0.534,0.506,0.534,0.517,0.533,0.474,0.48,0.529,0.534,0.634,0.587,15.781,11.794,14.642,14.518,16.337,15.18,53.509,0.067
choclo_5.wav,-402.518,81.119,-12.187,19.863,-4.499,6.772,1.125,0.576,0.546,0.536,0.499,0.515,0.562,0.572,0.607,0.594,0.585,0.641,0.613,15.15,11.606,14.654,14.365,15.992,17.553,51.852,0.198
choclo_6.wav,-328.975,96.142,7.049,13.042,-15.544,3.628,-5.529,0.392,0.544,0.468,0.29,0.345,0.477,0.324,0.304,0.293,0.45,0.672,0.412,14.59,15.424,16.628,16.348,17.796,17.812,52.496,0.074
choclo_7.wav,-406.42,144.962,22.17,36.847,-22.411,7.317,-11.597,0.317,0.452,0.465,0.393,0.478,0.457,0.339,0.335,0.361,0.365,0.417,0.368,17.376,13.24,17.148,16.265,15.097,15.875,56.147,0.06
choclo_9.wav,-436.101,104.156,16.113,22.725,12.022,8.181,-4.541,0.624,0.395,0.394,0.458,0.326,0.299,0.345,0.478,0.34,0.34,0.484,0.47,17.175,13.683,16.519,15.076,18.016,17.111,51.329,0.173
papa_1.wav,-481.387,102.704,0.86,13.019,-12.948,5.062,4.242,0.627,0.66,0.57,0.542,0.402,0.377,0.511,0.521,0.464,0.424,0.396,0.495,17.43,11.813,13.548,14.566,16.181,16.71,49.888,0.077
papa_10.wav,-512.279,53.174,-6.158,2.411,-5.645,7.059,-1.89,0.36,0.388,0.467,0.49,0.452,0.457,0.486,0.403,0.395,0.438,0.396,0.339,15.421,11.858,13.774,15.761,18.921,17.338,48.755,0.157
papa_11.wav,-474.227,138.051,7.309,21.568,-17.805,0.047,9.451,0.374,0.438,0.48,0.538,0.681,0.62,0.543,0.62,0.475,0.503,0.52,0.411,17.709,11.801,14.563,15.376,14.377,18.395,49.22,0.065
papa_12.wav,-477.196,109.188,22.015,19.871,-6.977,17.495,0.225,0.482,0.576,0.684,0.704,0.641,0.46,0.428,0.444,0.469,0.452,0.489,0.476,15.165,11.938,13.962,14.319,15.681,14.678,55.374,0.084
papa_13.wav,-525.407,40.178,9.49,7.905,1.252,-1.157,4.114,0.583,0.603,0.616,0.575,0.525,0.572,0.55,0.615,0.662,0.587,0.597,0.57,15.196,12.334,14.56,15.758,16.849,18.717,45.399,0.234
papa_14.wav,-420.88,107.607,6.5,15.719,2.086,11.167,2.863,0.458,0.455,0.422,0.413,0.39,0.416,0.463,0.512,0.623,0.579,0.616,0.559,16.586,14.761,14.769,15.323,17.39,17.102,51.653,0.058
papa_15.wav,-437.074,84.077,2.617,28.838,-9.612,-6.491,-5.509,0.478,0.494,0.566,0.64,0.535,0.571,0.536,0.465,0.501,0.532,0.557,0.471,16.863,11.005,13.899,15.445,15.291,16.979,53.761,0.122
papa_2.wav,-526.853,100.783,8.275,11.114,-2.3,-1.409,5.033,0.488,0.511,0.531,0.59,0.559,0.577,0.595,0.631,0.593,0.475,0.476,0.478,18.071,12.482,14.323,15.542,15.727,18.067,46.326,0.167
papa_3.wav,-412.686,107.804,-38.492,-6.602,-7.722,10.376,-22.005,0.467,0.379,0.32,0.295,0.369,0.388,0.494,0.445,0.444,0.731,0.596,0.518,14.3,12.814,15.47,16.034,21.334,17.271,50.976,0.115
papa_4.wav,-363.652,118.039,6.228,1.051,3.253,5.877,-5.258,0.643,0.515,0.433,0.377,0.293,0.308,0.359,0.639,0.707,0.58,0.629,0.692,18.476,12.941,15.14,16.8,18.158,15.691,52.749,0.038
papa_5.wav,-436.28,85.347,-13.258,21.278,-1.804,10.068,7.621,0.6,0.596,0.581,0.568,0.577,0.568,0.594,0.652,0.631,0.634,0.699,0.657,15.16,11.553,13.444,14.448,15.68,17.418,51.902,0.17
papa_6.wav,-387.933,116.182,11.329,10.231,-12.198,5.832,-6.973,0.469,0.533,0.444,0.385,0.419,0.497,0.606,0.492,0.384,0.494,0.519,0.367,17.311,13.279,14.731,15.444,16.679,15.441,54.886,0.085
papa_7.wav,-394.576,127.793,15.198,16.853,-16.966,5.882,-2.423,0.207,0.375,0.477,0.436,0.475,0.584,0.608,0.475,0.306,0.271,0.196,0.138,17.919,13.162,16.063,14.968,16.288,16.871,51.33,0.065
papa_8.wav,-391.73,101.066,-3.223,15.274,-13.547,2.266,7.406,0.554,0.553,0.62,0.635,0.605,0.539,0.631,0.643,0.623,0.673,0.576,0.541,15.111,11.102,12.874,14.187,14.779,17.801,48.953,0.168
papa_9.wav,-440.379,96.168,10.587,20.06,-0.688,10.73,-2.811,0.704,0.499,0.497,0.548,0.374,0.343,0.298,0.364,0.246,0.292,0.449,0.441,16.189,13.666,14.705,15.082,16.732,16.738,52.218,0.17
zanahoria_1.wav,-413.529,94.242,0.376,26.899,-18.448,13.718,-1.689,0.461,0.494,0.444,0.423,0.439,0.417,0.469,0.512,0.548,0.517,0.503,0.524,19.229,12.953,15.559,13.909,16.513,17.419,53.452,0.108
zanahoria_10.wav,-450.931,70.683,-16.251,7.988,-6.202,7.418,-12.925,0.342,0.381,0.43,0.44,0.424,0.358,0.347,0.395,0.352,0.351,0.311,0.37,17.25,12.905,15.709,16.427,19.282,17.915,50.569,0.146
zanahoria_11.wav,-457.451,114.004,-14.619,42.471,-16.933,-2.778,3.009,0.49,0.515,0.496,0.47,0.522,0.575,0.613,0.733,0.653,0.52,0.457,0.481,17.071,13.042,14.27,13.708,15.716,19.99,53.002,0.122
zanahoria_12.wav,-430.863,119.064,24.111,28.383,-11.008,24.207,-18.775,0.568,0.56,0.536,0.527,0.438,0.36,0.387,0.422,0.39,0.382,0.414,0.445,18.281,13.64,16.585,15.256,17.158,16.985,57.111,0.118
zanahoria_13.wav,-555.781,72.687,3.038,18.392,4.71,-0.558,3.746,0.654,0.625,0.622,0.607,0.601,0.624,0.605,0.668,0.692,0.631,0.634,0.636,15.75,11.989,14.359,14.742,15.496,18.455,48.569,0.168
zanahoria_14.wav,-400.523,86.441,0.29,24.7,-9.077,13.501,-8.033,0.394,0.322,0.324,0.384,0.447,0.522,0.435,0.395,0.429,0.471,0.534,0.483,18.794,16.039,16.074,15.918,17.922,18.324,55.527,0.108
zanahoria_15.wav,-407.297,96.314,0.957,37.79,5.346,6.102,-9.728,0.495,0.472,0.587,0.666,0.553,0.533,0.495,0.535,0.414,0.443,0.444,0.469,18.646,11.77,14.496,14.787,17.035,17.032,54.62,0.092
zanahoria_2.wav,-457.133,85.926,43.602,14.287,3.652,4.481,-0.147,0.44,0.451,0.422,0.397,0.367,0.453,0.569,0.621,0.502,0.476,0.536,0.442,18.419,13.056,16.051,16.518,17.994,20.423,55.211,0.138
zanahoria_3.wav,-439.379,134.733,-28.84,17.389,-13.685,6.653,-19.422,0.36,0.306,0.218,0.231,0.217,0.263,0.439,0.544,0.539,0.464,0.414,0.313,18.402,17.54,18.736,18.192,20.43,17.824,50.814,0.071
zanahoria_4.wav,-263.105,110.719,-26.165,18.389,-2.609,-11.446,-21.846,0.416,0.359,0.285,0.322,0.317,0.429,0.422,0.359,0.37,0.484,0.523,0.388,17.194,15.639,17.632,18.077,18.391,18.583,56.827,0.114
zanahoria_5.wav,-401.661,68.122,-17.985,16.244,-7.266,2.662,-1.367,0.521,0.469,0.533,0.648,0.545,0.549,0.624,0.616,0.536,0.525,0.526,0.585,16.811,13.383,16.013,15.476,17.184,19.278,52.29,0.23
zanahoria_6.wav,-312.645,109.487,-0.126,13.423,-11.367,0.271,-10.906,0.409,0.481,0.509,0.501,0.398,0.415,0.464,0.567,0.523,0.509,0.486,0.356,15.241,14.845,17.97,16.534,18.732,18.355,55.443,0.099
zanahoria_7.wav,-410.958,120.341,19.947,27.758,-13.263,16.826,-23.909,0.361,0.438,0.394,0.384,0.604,0.494,0.419,0.396,0.319,0.338,0.269,0.233,18.669,14.006,15.552,14.953,18.194,17.216,53.717,0.074
zanahoria_8.wav,-410.977,94.824,-10.738,33.526,-8.65,5.206,0.388,0.48,0.475,0.497,0.512,0.479,0.557,0.585,0.659,0.643,0.554,0.504,0.442,18.358,13.73,15.632,15.825,17.34,19.805,53.81,0.236
zanahoria_9.wav,-351.191,124.16,0.624,33.103,0.063,7.004,-11.382,0.612,0.473,0.413,0.552,0.418,0.338,0.276,0.205,0.167,0.206,0.421,0.466,18.411,14.555,16.063,14.448,16.213,18.994,52.54,0.085
berenjena_media,-425.201,101.099,-0.373,32.971,0.973,1.952,-10.81,0.426,0.444,0.43,0.423,0.436,0.433,0.444,0.509,0.52,0.474,0.449,0.443,17.946,14.333,16.852,15.515,17.56,17.853,52.725,0.119
choclo_media,-444.632,92.593,5.206,20.634,-3.854,4.613,-2.9,0.489,0.477,0.492,0.486,0.463,0.471,0.459,0.508,0.512,0.505,0.549,0.513,16.062,12.793,15.368,15.094,16.445,17.127,52.033,0.126
papa_media,-445.503,99.211,2.619,13.239,-6.775,5.52,-0.394,0.5,0.505,0.514,0.516,0.486,0.485,0.513,0.528,0.501,0.511,0.514,0.477,16.46,12.434,14.388,15.27,16.671,17.015,50.893,0.118
zanahoria_media,-410.895,100.116,-1.452,24.05,-6.982,6.218,-8.866,0.467,0.455,0.447,0.471,0.451,0.459,0.477,0.508,0.472,0.458,0.465,0.442,17.768,13.939,16.047,15.651,17.573,18.44,53.567,0.127
